"Source #2 #","Category","Source #2 Name","External Reference Price","Supplied Specimen","Supplied Volume/Schedule/Method","Evidence Field","Existing 256 Match","Existing Production Match","Canonical Proposed Identity","Relationship","Workflow Boundary","Conflict","Price Authority"
"234","Histopathology & Biopsy","FNAC","1600","FNA Slide","1-2 Days","ReportSchedule","FNAC (Fine Needle Aspiration)","","FNAC cytology case","SpecialistExistingOrVariant","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"235","Histopathology & Biopsy","FNAC with Procedure","2500","Procedure/FNA Slide","1-2 Days","ReportSchedule","","","FNAC_WITH_PROCEDURE — FNAC with Procedure","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"236","Histopathology & Biopsy","Cytology (Body Fluid)","1100","Body Fluids","1-2 Days","ReportSchedule","","","CYTOLOGY_BODY_FLUID — Cytology (Body Fluid)","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"237","Histopathology & Biopsy","Cytology Urine","1100","Urine","1-2 Days","ReportSchedule","","","CYTOLOGY_URINE — Cytology Urine","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"238","Allergy Testing","Allergy Food Screening (20 Panel)","5000","Serum","Immunoblot","Method","","","ALLERGY_FOOD_SCREENING_20_PANEL — Allergy Food Screening (20 Panel)","ProfileCandidate","Outsource/Immunology review","","ExternalReferencePrice"
"239","Allergy Testing","Allergy Inhalation (20 Panel)","5000","Serum","Immunoblot","Method","","","ALLERGY_INHALATION_20_PANEL — Allergy Inhalation (20 Panel)","ProfileCandidate","Outsource/Immunology review","","ExternalReferencePrice"
"240","Vitamins & Minerals","Vitamin A (Retinol)","9500","Fasting Serum","HPLC","Method","","","VITAMIN_A_RETINOL — Vitamin A (Retinol)","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"241","Vitamins & Minerals","Vitamin B1","7500","Fasting Serum","HPLC","Method","","","VITAMIN_B1 — Vitamin B1","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"242","Vitamins & Minerals","Vitamin B2","7700","Fasting Serum","HPLC","Method","","","VITAMIN_B2 — Vitamin B2","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"243","Vitamins & Minerals","Vitamin B6","7700","Fasting Serum","HPLC","Method","","","VITAMIN_B6 — Vitamin B6","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"244","Vitamins & Minerals","Vitamin B12","1600","Serum","CLIA","Method","Vitamin B12","VITAMIN_B12 — Vitamin B12 (Cyanocobalamin) [Active/Routine; clinical=false]","VITAMIN_B12 — Vitamin B12 (Cyanocobalamin)","Existing256Match","Routine or Outsource review","","ExternalReferencePrice"
"245","Vitamins & Minerals","Vitamin C (Ascorbic Acid)","7700","Fasting Serum","HPLC","Method","","","VITAMIN_C_ASCORBIC_ACID — Vitamin C (Ascorbic Acid)","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"246","Vitamins & Minerals","Vitamin D (25-Hydroxy)","2800","Serum","CLIA","Method","25 Hydroxy (OH) Vitamin D","VITAMIN_D — 25-Hydroxy Vitamin D (Total) [Active/Routine; clinical=false]","VITAMIN_D — 25-Hydroxy Vitamin D (Total)","Existing256Match","Routine or Outsource review","Semantic match requires operator confirmation","ExternalReferencePrice"
"247","Vitamins & Minerals","Vitamin D3 (1,25-Dihydroxy)","6500","Serum","CLIA","Method","","","VITAMIN_D3_1_25_DIHYDROXY — Vitamin D3 (1,25-Dihydroxy)","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"248","Vitamins & Minerals","Vitamin E (Tocopherol)","9500","Fasting Serum","HPLC","Method","","","VITAMIN_E_TOCOPHEROL — Vitamin E (Tocopherol)","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"249","Vitamins & Minerals","Vitamin K1","8800","Fasting Serum","HPLC","Method","","","VITAMIN_K1 — Vitamin K1","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"250","Vitamins & Minerals","Iron","1000","Serum","Spectrophotometry","Method","Iron","IRON — Serum Iron [Active/Routine; clinical=false]","IRON — Serum Iron","Existing256Match","Routine or Outsource review","","ExternalReferencePrice"
"251","Vitamins & Minerals","Zinc","4000","Plasma/Serum/Urine","ICPMS","Method","Serum Zinc","","Serum Zinc","Existing256Match","Routine or Outsource review","","ExternalReferencePrice"
"252","Vitamins & Minerals","Copper Serum","3300","Serum","Spectrophotometry","Method","","","COPPER — Copper Serum","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"253","Vitamins & Minerals","Magnesium","600","Serum/Urine","Spectrophotometry","Method","Magnesium","MAGNESIUM — Serum Magnesium [Active/Routine; clinical=false]","MAGNESIUM — Serum Magnesium","Existing256Match","Routine or Outsource review","","ExternalReferencePrice"
"254","Vitamins & Minerals","Calcium Serum","500","Serum","Spectrophotometry","Method","Serum Calcium","CALCIUM — Serum Calcium (Total) [Active/Routine; clinical=false]","CALCIUM — Serum Calcium (Total)","Existing256Match","Routine or Outsource review","","ExternalReferencePrice"
"255","Vitamins & Minerals","Lead","3850","Blood/Urine","ICPMS","Method","","","LEAD — Lead","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"256","Vitamins & Minerals","Cadmium","6000","Blood/24hr Urine","ICPMS","Method","","","CADMIUM — Cadmium","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"257","Vitamins & Minerals","Mercury","7150","Urine","ICPMS","Method","","","MERCURY — Mercury","AdditionalCandidate","Routine or Outsource review","","ExternalReferencePrice"
"258","Genetic Testing & Karyotyping","Karyotyping Blood","6000","Sodium Heparin Blood","10-15 Days","ReportSchedule","","","KARYOTYPING_BLOOD — Karyotyping Blood","SpecialistNewCandidate","Molecular/CytogeneticsWorkflow","","ExternalReferencePrice"
"259","Genetic Testing & Karyotyping","Karyotyping (Couple)","10000","Sodium Heparin (Both)","10-15 Days","ReportSchedule","","","KARYOTYPING_COUPLE — Karyotyping (Couple)","SpecialistNewCandidate","Molecular/CytogeneticsWorkflow","","ExternalReferencePrice"
"260","Genetic Testing & Karyotyping","Karyotyping (Bone Marrow)","5000","Bone Marrow","10-15 Days","ReportSchedule","","","KARYOTYPING_BONE_MARROW — Karyotyping (Bone Marrow)","SpecialistNewCandidate","Molecular/CytogeneticsWorkflow","","ExternalReferencePrice"
"261","Genetic Testing & Karyotyping","Karyotype (POC)","10500","POC in RPMI","10-15 Days","ReportSchedule","","","KARYOTYPE_POC — Karyotype (POC)","SpecialistNewCandidate","Molecular/CytogeneticsWorkflow","","ExternalReferencePrice"
"262","Genetic Testing & Karyotyping","2 CFTR (Cystic Fibrosis)","11000","EDTA Blood","12-15 Days","ReportSchedule","","","2_CFTR_CYSTIC_FIBROSIS — 2 CFTR (Cystic Fibrosis)","SpecialistNewCandidate","Molecular/CytogeneticsWorkflow","","ExternalReferencePrice"
"263","Genetic Testing & Karyotyping","Autism Panel","33000","EDTA Blood","25-30 Days","ReportSchedule","","","AUTISM_PANEL — Autism Panel","SpecialistNewCandidate","Molecular/CytogeneticsWorkflow","","ExternalReferencePrice"
"264","Genetic Testing & Karyotyping","Glycogen Storage Disease Panel","30000","EDTA Blood","20-30 Days","ReportSchedule","","","GLYCOGEN_STORAGE_DISEASE_PANEL — Glycogen Storage Disease Panel","SpecialistNewCandidate","Molecular/CytogeneticsWorkflow","","ExternalReferencePrice"
"265","Genetic Testing & Karyotyping","BRCA 1/2","32000","EDTA Blood","-","ReportSchedule","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","SpecialistExistingOrVariant","Molecular/CytogeneticsWorkflow","Semantic match requires operator confirmation","ExternalReferencePrice"
"266","Genetic Testing & Karyotyping","Duchenne/Becker Muscular Dystrophy","16000","EDTA Blood","12-15 Days","ReportSchedule","","","DUCHENNE_BECKER_MUSCULAR_DYSTROPHY — Duchenne/Becker Muscular Dystrophy","SpecialistNewCandidate","Molecular/CytogeneticsWorkflow","","ExternalReferencePrice"
"267","Drug Testing & Toxicology","Alcohol (Ethanol) Screen","4000","Serum","","SampleVolume","","","ALCOHOL_ETHANOL_SCREEN — Alcohol (Ethanol) Screen","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"268","Drug Testing & Toxicology","Acetaminophen (Paracetamol)","2100","Serum","","SampleVolume","","","ACETAMINOPHEN_PARACETAMOL — Acetaminophen (Paracetamol)","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"269","Drug Testing & Toxicology","Amphetamine","2000","Urine","","SampleVolume","","","AMPHETAMINE — Amphetamine","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"270","Drug Testing & Toxicology","Barbiturates","2000","Urine","","SampleVolume","","","BARBITURATES — Barbiturates","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"271","Drug Testing & Toxicology","Benzodiazepine","2000","Urine","","SampleVolume","","","BENZODIAZEPINE — Benzodiazepine","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"272","Drug Testing & Toxicology","Cannabis (Marijuana/THC)","2000","Urine","","SampleVolume","","","CANNABIS_MARIJUANA_THC — Cannabis (Marijuana/THC)","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"273","Drug Testing & Toxicology","Cocaine","2000","Urine","","SampleVolume","","","COCAINE — Cocaine","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"274","Drug Testing & Toxicology","Morphine (Opiate)","2000","Urine","","SampleVolume","","","MORPHINE_OPIATE — Morphine (Opiate)","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"275","Drug Testing & Toxicology","Phencyclidine (PCP)","2000","Urine","","SampleVolume","","","PHENCYCLIDINE_PCP — Phencyclidine (PCP)","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"276","Drug Testing & Toxicology","Urine Drug Analysis","3300","Urine","","SampleVolume","","","URINE_DRUG_ANALYSIS — Urine Drug Analysis","ProfileCandidate","Toxicology/TDM","","ExternalReferencePrice"
"277","Drug Testing & Toxicology","Carbamazepine","2500","Serum","","SampleVolume","","","CARBAMAZEPINE — Carbamazepine","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"278","Drug Testing & Toxicology","Phenytoin Level","2500","Serum","","SampleVolume","","","PHENYTOIN_LEVEL — Phenytoin Level","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"279","Drug Testing & Toxicology","Valporic Acid","2500","Serum","","SampleVolume","","","VALPORIC_ACID — Valporic Acid","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"280","Drug Testing & Toxicology","Vancomycin","3000","Serum","","SampleVolume","","","VANCOMYCIN — Vancomycin","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"281","Drug Testing & Toxicology","Digoxin","2500","Serum","","SampleVolume","","","DIGOXIN — Digoxin","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"282","Drug Testing & Toxicology","Lithium","1200","Serum","","SampleVolume","","","LITHIUM — Lithium","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"283","Drug Testing & Toxicology","Cyclosporine A","5500","EDTA Blood","","SampleVolume","","","CYCLOSPORINE_A — Cyclosporine A","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"284","Drug Testing & Toxicology","Tacrolimus","4200","EDTA Blood","","SampleVolume","","","TACROLIMUS — Tacrolimus","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"285","Drug Testing & Toxicology","Everolimus","11550","EDTA Blood","","SampleVolume","","","EVEROLIMUS — Everolimus","AdditionalCandidate","Toxicology/TDM","","ExternalReferencePrice"
"286","General & Other Tests","Urine Routine","200","Urine","","SampleVolume","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","StructuredExistingOrVariant","Routine/Structured/Specialist review","Semantic match requires operator confirmation","ExternalReferencePrice"
"287","General & Other Tests","Stool Routine","200","Stool","","SampleVolume","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","StructuredExistingOrVariant","Routine/Structured/Specialist review","Semantic match requires operator confirmation","ExternalReferencePrice"
"288","General & Other Tests","Semen Analysis","700","Semen","","SampleVolume","","","SEMEN_ANALYSIS — Semen Analysis","StructuredNewCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"289","General & Other Tests","CSF Routine","1000","CSF","","SampleVolume","","","CSF_ROUTINE — CSF Routine","StructuredNewCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"290","General & Other Tests","Pregnancy Test (Urine)","150","Urine","","SampleVolume","Urine Pregnancy Test","","Urine Pregnancy Test","Existing256Match","Routine/Structured/Specialist review","","ExternalReferencePrice"
"291","General & Other Tests","Mantoux Test","500","Walk to Lab","","SampleVolume","Mantoux test","","Mantoux test","Existing256Match","Routine/Structured/Specialist review","","ExternalReferencePrice"
"292","General & Other Tests","Glucose Challenge Test","100","Fluoride Plasma","","SampleVolume","","","GLUCOSE_CHALLENGE — Glucose Challenge Test","AdditionalCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"293","General & Other Tests","G6PD","2500","EDTA Blood","","SampleVolume","Glucose-6-phosphate dehydrogenase","","Glucose-6-phosphate dehydrogenase","Existing256Match","Routine/Structured/Specialist review","","ExternalReferencePrice"
"294","General & Other Tests","Osmolality Serum","1650","Serum","","SampleVolume","","","OSMOLALITY — Osmolality Serum","AdditionalCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"295","General & Other Tests","Osmolality Urine","1650","24hrs Urine","","SampleVolume","","","OSMOLALITY_URINE — Osmolality Urine","AdditionalCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"296","General & Other Tests","Ketone Bodies (Urine)","200","Urine","","SampleVolume","","","KETONE_BODIES_URINE — Ketone Bodies (Urine)","AdditionalCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"297","General & Other Tests","H. Pylori Antigen (Stool)","1500","Stool","","SampleVolume","","","H_PYLORI_ANTIGEN_STOOL — H. Pylori Antigen (Stool)","AdditionalCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"298","General & Other Tests","H. Pylori Total Antibody","1100","Serum","","SampleVolume","","","H_PYLORI_TOTAL_ANTIBODY — H. Pylori Total Antibody","AdditionalCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"299","General & Other Tests","Leishmania (K-39) IgG/IgM","1100","Serum","","SampleVolume","","","LEISHMANIA_K_39_IGG_IGM — Leishmania (K-39) IgG/IgM","AdditionalCandidate","Routine/Structured/Specialist review","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"300","General & Other Tests","Scrub Typhus IgM","1750","Serum","","SampleVolume","","","SCRUB_TYPHUS_IGM — Scrub Typhus IgM","AdditionalCandidate","Routine/Structured/Specialist review","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"301","General & Other Tests","Widal Test","300","Serum","","SampleVolume","","","WIDAL — Widal Test","AdditionalCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"302","General & Other Tests","Procalcitonin","5200","Serum","","SampleVolume","Procalcitonin","","Procalcitonin","Existing256Match","Routine/Structured/Specialist review","","ExternalReferencePrice"
"303","General & Other Tests","NT-pro BNP","5000","Heparin/Serum","","SampleVolume","","","NT_PRO_BNP — NT-pro BNP","AdditionalCandidate","Routine/Structured/Specialist review","","ExternalReferencePrice"
"304","General & Other Tests","Troponin I","1000","Serum","","SampleVolume","Troponin T","","Troponin T","Existing256Match","Routine/Structured/Specialist review","","ExternalReferencePrice"
